feature,train_mean,holdout_mean,train_std,holdout_std,ks_stat,corr_train,corr_holdout,corr_diff,concept_drift
price_high,69914.61999706572,70802.46868327403,6486.723983269491,7206.249343034808,0.22041083989106647,-0.007164054648681337,0.03447414430680142,0.041638198955482764,False
hour_sin,-1.3552018140964352e-17,-1.3696701608661481e-17,0.7071067811865476,0.7059600318315149,0.0014827995255041193,0.011402981526311457,0.05301679415785776,0.0416138126315463,False
log_return_3,-9.288107890231102e-05,0.000830002570095594,0.007191223312926055,0.007120380075210597,0.08823074866756886,-0.009753393390139118,0.030962660919197648,0.040716054309336766,False
price_open,69712.82901995305,70609.91008303677,6489.793743932934,7137.18539194609,0.21301250563881513,-0.0064074704397489995,0.033763900043961764,0.040171370483710764,False
price_low,69503.90594776995,70436.88021352312,6493.630652740519,7060.936002436092,0.20558910998613267,-0.005348327311676176,0.03481947445931501,0.04016780177099119,False
body_size,0.4396660871449936,0.43772725088961445,0.2532953764956463,0.2559203499154392,0.030799416904749966,0.00043425973266580237,-0.03832017936189802,-0.038754439094563824,False
day_cos,-0.010499876286945133,-0.0007918894446843969,0.7083927431758072,0.7059718304998605,0.007849439460010321,0.0010680182579414612,-0.03409399186999205,-0.03516201012793351,False
fng_ma_7,0.0,0.0,0.0,0.0,0.0,-0.005939324544834845,0.027722516944692067,0.03366184148952691,False
hour_cos,-5.420807256385741e-17,-0.0034778785914331934,0.7071067811865476,0.7082431346768917,0.0031138790035587227,-0.00950511757220756,-0.040953317973877794,-0.031448200401670234,False
volume_zscore_20,0.035851485563104406,0.03176203033822973,1.092411783440935,1.099477315827723,0.020348812924999578,-0.024168241654807635,0.004895128641351348,0.029063370296158984,False
volume_ratio,1.0290127040613681,1.0324591060871713,0.6514179947866834,0.7641558923239761,0.04765529714467115,-0.013981875222399945,0.014999239893779463,0.028981115116179408,False
candle_direction,-0.0010538499844514177,0.017402463643461305,0.5074088148028872,0.5067519372744009,0.03282521343959366,-0.017100508872571207,0.011713736266689093,0.0288142451392603,False
fng_norm,0.0,0.0,0.0,0.0,0.0,0.0036713281181380486,0.030443912998048737,0.026772584879910688,False
ema_ratio_5,-6.46674549567347e-05,0.0005501484038550739,0.0036559485339643493,0.0037101666711253523,0.08359021268775166,0.008633271919868334,0.03216823150978654,0.023534959589918206,False
volume_price_trend,-5.399361050580667e-05,0.0006588060862379504,0.002486432983474666,0.00379894871634553,0.12224115750254788,0.09033568466602596,0.06693785808366129,-0.023397826582364667,False
macd_diff_norm,-2.0871541267625418e-06,2.003060000387019e-05,0.0013017279102725849,0.0013423433999701765,0.06225878402085111,0.08667077246710325,0.06711985085637837,-0.019550921610724886,False
sentiment_ma_5,0.0,0.0,0.0,0.0,0.0,-0.00833988386896124,-0.027328234915289875,-0.018988351046328636,False
log_return_5,-0.00015127494178059553,0.0013832187844327979,0.009019660077214692,0.00930025022014822,0.08890740647920739,0.02457897065569073,0.006076623790340808,-0.01850234686534992,False
sma_ratio_10,-0.0001260502758209183,0.0012571960211634739,0.00670747238546313,0.007143220099746399,0.09917318263077873,0.03703665222093025,0.019497456500822467,-0.017539195720107783,False
ema_ratio_10,-0.00014001299652807554,0.0012415989380490662,0.005682933885764014,0.006100945665284261,0.12042733864635025,0.04760486909626722,0.031999227458241984,-0.015605641638025233,False
sentiment,0.0,0.0,0.0,0.0,0.0,0.006533663130045667,0.019212982230029138,0.01267931909998347,False
volume_zscore_50,0.03516399184571807,0.04864995014414065,1.109452775448045,1.1212953385854538,0.0326435182864685,-0.01896428460993346,-0.00872635832526071,0.010237926284672749,False
fng_zscore_14,0.0,0.0,0.0,0.0,0.0,-0.02024455607491245,-0.016136395291309717,0.004108160783602734,False
upper_shadow,0.2764783414278364,0.28322609578706104,0.20649686565020733,0.21034306595761887,0.02735869547056946,0.020292096748563325,0.0236265595447301,0.0033344627961667747,False
